iter	RMSE
159	2463211.066
160	2462580.861
161	2462169.377
162	2461953.665
163	2461400.118
164	2461167.869
165	2460768.521
166	2460592.412
167	2460378.734
168	2459925.605
169	2459678.931
170	2459452.827
171	2459348.279
172	2459268.441
173	2459089.352
174	2458591.765
175	2458524.421
176	2458264.132
177	2458124.049
178	2457931.222
179	2457777.935
180	2457310.522
181	2457097.115
182	2456930.044
183	2456619.798
184	2456446.636
185	2456235.527
186	2455846.767
187	2455565.533
188	2455370.926
189	2455186.024
190	2454805.78
191	2454409.859
192	2454129.863
193	2453538.199
194	2453321.885
195	2452714.725
196	2452466.585
197	2452213.006
198	2451717.617
199	2451486.315
200	2451290.632
201	2451153.345
202	2450712.445
203	2450352.458
204	2450052.884
205	2449852.515
206	2449715.6
207	2449310.909
208	2448869.331
209	2448669.447
210	2448223.804
211	2447651.456
212	2447318.571
213	2447037.781
214	2446931.407
215	2446716.193
216	2446405.904
217	2446010.523
218	2445504.436
219	2445393.384
220	2445129.207
221	2445019.712
222	2444724.078
223	2444249.897
224	2444084.668
225	2443681.978
226	2443142.675
227	2442848.701
228	2442331.059
229	2442189.637
230	2441790.422
231	2441539.426
232	2441089.199
233	2440990.789
234	2440905.369
235	2440546.839
236	2440448.455
237	2440015.789
238	2439938.084
239	2439826.04
240	2439434.246
241	2439383.913
242	2439093.953
243	2438694.223
244	2438319.253
245	2437981.835
246	2437817.264
247	2437695.002
248	2437344.002
249	2437029.109
250	2436674.663
251	2436359.325
252	2436124.787
253	2435830.971
254	2435740.437
255	2435338.111
256	2435159.14
257	2434883.758
258	2434783.124
259	2434415.618
260	2434131.034
261	2433848.404
262	2433603.531
263	2433300.722
264	2432988.179
265	2432887.674
266	2432789.374
267	2432726.285
268	2432469.459
269	2432433.153
270	2432252.184
271	2432167.445
272	2431886.449
273	2431577.528
274	2431335.399
275	2431030.674
276	2430805.216
277	2430773.001
278	2430537.971
279	2430257.887
280	2430030.072
281	2429952.095
282	2429675.269
283	2429631.31
284	2429499.139
285	2429279.132
286	2429210.845
287	2428947.646
288	2428865.277
289	2428497.474
290	2428302.034
291	2428141.528
292	2427903.992
293	2427652.036
294	2427579.002
295	2427434.077
296	2427263.752
297	2427236.806
298	2426985.912
299	2426929.003
300	2426714.521
301	2426402.588
302	2426183.026
303	2425902.212
304	2425675.484
305	2425651.943
306	2425587.65
307	2425336.352
308	2425245.607
309	2425049.168
310	2424850.479
311	2424787.531
312	2424563.486
313	2424391.355
314	2424333.464
315	2424092.768
316	2424053.509
317	2424002.247
318	2423751.447
319	2423676.669
320	2423468.197
321	2423225.444
322	2423116.028
323	2422938.966
324	2422747.33
325	2422723.963
326	2422671.548
327	2422438.991
328	2422396.347
329	2422158.301
330	2421980.876
331	2421825.261
332	2421692.537
333	2421479.039
334	2421301.236
335	2421140.809
336	2420978.218
337	2420784.301
338	2420595.511
339	2420420.228
340	2420372.986
341	2420352.635
342	2420174.404
343	2420040.095
344	2419903.644
345	2419879.701
346	2419834.38
347	2419664.638
348	2419618.444
349	2419468.429
350	2419426.422
351	2419228.315
352	2419139.41
353	2418975.978
354	2418826.01
355	2418684.028
356	2418523.491
357	2418384.863
358	2418228.541
359	2418110.454
360	2418051.348
361	2417924.433
362	2417870.074
363	2417853.625
364	2417699.015
365	2417604.879
366	2417461.198
367	2417297.754
368	2417194.04
369	2417052.204
370	2417024.027
371	2416977.382
372	2416962.054
373	2416797.232
374	2416632.604
375	2416485.454
376	2416353.093
377	2416228.89
378	2416051.356
379	2416007.952
380	2415832.74
381	2415746.231
382	2415690.13
383	2415577.628
384	2415505.587
385	2415399.328
386	2415328.495
387	2415177.873
388	2415023.96
389	2414852.029
390	2414820.193
391	2414654.129
392	2414522.865
393	2414334.87
394	2414207.837
395	2414087.378
396	2414071.082
397	2413878.022
398	2413720.094
399	2413708.114
400	2413574.477
401	2413492.4
402	2413459.424
403	2413441.138
404	2413353.829
405	2413321.292
406	2413222.386
407	2413077.948
408	2412951.942
409	2412825.658
410	2412797.249
411	2412624.709
412	2412472.581
413	2412420.067
414	2412374.325
415	2412268.131
416	2412159.875
417	2412049.717
418	2412013.661
419	2411945.111
420	2411802.55
421	2411676.591
422	2411580.183
423	2411525.582
424	2411399.189
425	2411272.503
426	2411178.051
427	2411129.069
428	2411003.333
429	2410926.474
430	2410810.07
431	2410747.088
432	2410650.092
433	2410618.273
434	2410508.238
435	2410360.898
436	2410269.767
437	2410165.671
438	2410039.53
439	2409979.578
440	2409964.723
441	2409878.87
442	2409758.815
443	2409669.616
444	2409589.509
445	2409463.586
446	2409353.337
447	2409325.643
448	2409285.387
449	2409184.507
450	2409114.628
451	2409011.402
452	2409001.277
453	2408870.841
454	2408766.677
455	2408687.667
456	2408585.047
457	2408571.807
458	2408532.409
459	2408459.901
460	2408373.228
461	2408284.986
462	2408252.834
463	2408159.913
464	2408047.14
465	2408034.702
466	2407974.282
467	2407881.846
468	2407779.391
469	2407685.88
470	2407616.808
471	2407603.339
472	2407522.451
473	2407395.825
474	2407375.066
475	2407230.151
476	2407107.026
477	2407042.247
478	2406971.357
479	2406929.76
480	2406876.965
481	2406813.898
482	2406740.2
483	2406661.867
484	2406629.978
485	2406595.942
486	2406500.983
487	2406426.444
488	2406335.506
489	2406260.588
490	2406192.418
491	2406108.787
492	2406056.192
493	2405978.238
494	2405941.162
495	2405929.44
496	2405843.891
497	2405767.823
498	2405702.731
499	2405619.653
500	2405542.6
501	2405465.662
502	2405442.26
503	2405345.701
504	2405246.506
505	2405179.013
506	2405173.949
507	2405100.531
508	2405038.466
509	2404949.133
510	2404897.836
511	2404827.634
512	2404756.474
513	2404697.163
514	2404618.701
515	2404550.234
516	2404532.897
517	2404523.973
518	2404459.479
519	2404343.698
520	2404240.222
521	2404172.669
522	2404105.583
523	2404074.629
524	2403978.32
525	2403925.171
526	2403903.343
527	2403890.26
528	2403803.849
529	2403793.489
530	2403751.722
531	2403683.283
532	2403627.411
533	2403575.344
534	2403549.943
535	2403500.096
536	2403427.257
537	2403352.335
538	2403290.526
539	2403273.823
540	2403214.888
541	2403158.921
542	2403128.515
543	2403052.982
544	2403024.97
545	2402956.929
546	2402947.477
547	2402928.011
548	2402860.898
549	2402824.212
550	2402816.976
551	2402755.551
552	2402695.574
553	2402688.421
554	2402649.882
555	2402637.98
556	2402620.36
557	2402601.404
558	2402562.342
559	2402542.978
560	2402514.97
561	2402500.185
562	2402444.676
563	2402427.339
564	2402410.965
565	2402402.444
566	2402324.193
567	2402266.486
568	2402206.332
569	2402148.118
570	2402097.362
571	2402077.316
572	2402019.206
573	2401973.172
574	2401964.511
575	2401947.307
576	2401820.968
577	2401775.863
578	2401736.34
579	2401707.907
580	2401692.123
581	2401631.294
582	2401572.208
583	2401539.975
584	2401532.093
585	2401515.291
586	2401493.64
587	2401479.807
588	2401446.811
589	2401394.703
590	2401349.299
591	2401341.96
592	2401325.848
593	2401270.51
594	2401223.85
595	2401191.474
596	2401163.238
597	2401083.406
598	2401051.611
599	2400980.567
600	2400962.476
601	2400911.007
602	2400903.537
603	2400834.877
604	2400777.352
605	2400769.253
606	2400765.481
607	2400760.17
608	2400694.124
609	2400634.45
610	2400586.075
611	2400519.699
612	2400458.778
613	2400451.643
614	2400439.935
615	2400417.65
616	2400372.181
617	2400354.483
618	2400295.095
619	2400289.125
620	2400247
621	2400207.922
622	2400160.934
623	2400120.168
624	2400078.191
625	2400071.039
626	2400037.732
627	2400029.319
628	2399997.414
629	2399983.421
630	2399977.661
631	2399949.694
632	2399930.337
633	2399880.921
634	2399857.462
635	2399800.062
636	2399760.225
637	2399755.256
638	2399741.193
639	2399736.542
640	2399731.194
641	2399703.802
642	2399662.131
643	2399652.092
644	2399633.579
645	2399626.055
646	2399596.938
647	2399588.525
648	2399570.624
649	2399482.68
650	2399476.86
651	2399444.588
652	2399418.037
653	2399393.25
654	2399345.319
655	2399302.333
656	2399249.055
657	2399201.382
658	2399174.142
659	2399127.913
660	2399034.287
661	2398995.568
662	2398967.004
663	2398905.059
664	2398789.141
665	2398682.509
666	2398605.352
667	2398599.848
668	2398585.749
669	2398506.315
670	2398430.678
671	2398425.439
672	2398401.759
673	2398384.562
674	2398380.141
675	2398335.612
676	2398308.269
677	2398267.407
678	2398224.235
679	2398171.869
680	2398160.304
681	2398125.743
682	2398112.713
683	2398087.604
684	2398035.87
685	2398023.383
686	2397966.275
687	2397913.731
688	2397869.708
689	2397832.816
690	2397809.949
691	2397775.577
692	2397754.88
693	2397748.682
694	2397689.783
695	2397649.379
696	2397609.221
697	2397569.976
698	2397553.018
699	2397520.608
700	2397509.448
701	2397490.572
702	2397441.501
703	2397432.669
704	2397366.047
705	2397318.076
706	2397294.991
707	2397256.172
708	2397252.168
709	2397223.506
710	2397135.814
711	2397099.146
712	2397058.714
713	2397036.269
714	2397019.037
715	2397010.016
716	2396986.768
717	2396940.086
718	2396904.435
719	2396824.44
720	2396799.902
721	2396796.554
722	2396769.286
723	2396766.299
724	2396763.625
725	2396759.538
726	2396756.134
727	2396741.679
728	2396703.137
729	2396692.754
730	2396654.223
731	2396638.748
732	2396634.992
733	2396598.893
734	2396594.052
735	2396591.414
736	2396562.581
737	2396555.382
738	2396537.762
739	2396520.972
740	2396460.257
741	2396453.505
742	2396403.431
743	2396364.82
744	2396359.859
745	2396328.103
746	2396323.674
747	2396298.978
748	2396280.895
749	2396277.558
750	2396257.587
751	2396240.141
752	2396233.108
753	2396228.495
754	2396215.723
755	2396212.262
756	2396185.134
757	2396152.748
758	2396115.968
759	2396096.845
760	2396066.011
761	2396038.202
762	2396036.674
763	2396022.274
764	2396014.97
765	2395991.214
766	2395964.062
767	2395948.961
768	2395929.499
769	2395902.828
770	2395821.348
771	2395789.15
772	2395781.44
773	2395774.04
774	2395770.856
775	2395758.914
776	2395750.027
777	2395739.75
778	2395696.274
779	2395681.09
780	2395660.872
781	2395656.595
782	2395628.004
783	2395604.907
784	2395600.972
785	2395597.388
786	2395594.862
787	2395583.962
788	2395556.151
789	2395539.292
790	2395518.698
791	2395511.037
792	2395501.965
793	2395483.322
794	2395423.88
795	2395422.187
796	2395420.863
797	2395410.014
798	2395386.618
799	2395376.377
800	2395357.411
801	2395334.577
802	2395324.514
803	2395321.064
804	2395312.988
805	2395306.227
806	2395298.332
807	2395289.939
808	2395270.632
809	2395254.265
810	2395251.275
811	2395244.081
812	2395239.2
813	2395211.362
814	2395203.923
815	2395193.449
816	2395146.68
817	2395144.626
818	2395140.827
819	2395114.373
820	2395113.255
821	2395107.22
822	2395093.017
823	2395057.356
824	2395033.159
825	2395031.337
826	2394978.808
827	2394949.712
828	2394939.643
829	2394920.168
830	2394912.786
831	2394901.316
832	2394878.945
833	2394872.674
834	2394851.233
835	2394844.353
836	2394797.113
837	2394763.255
838	2394756.879
839	2394754.718
840	2394751.854
841	2394734.351
842	2394707.573
843	2394678.398
844	2394676.717
845	2394674.278
846	2394671.887
847	2394653.274
848	2394613.188
849	2394596.481
850	2394572.331
851	2394565.807
852	2394560.017
853	2394539.752
854	2394518.491
855	2394490.194
856	2394480.711
857	2394452.72
858	2394413.243
859	2394384.481
860	2394316.115
861	2394291.979
862	2394284.42
863	2394274.299
864	2394250.233
865	2394212.438
866	2394191.565
867	2394188.119
868	2394174.534
869	2394172.09
870	2394161.559
871	2394159.077
872	2394137.176
873	2394126.278
874	2394121.713
875	2394116.397
876	2394056.073
877	2394052.081
878	2394050.288
879	2394017.802
880	2393987.155
881	2393970.028
882	2393956.861
883	2393945.669
884	2393925.6
885	2393922.446
886	2393908.973
887	2393902.021
888	2393864.009
889	2393813.193
890	2393811.437
891	2393797.162
892	2393790.994
893	2393778.944
894	2393754.528
895	2393753.501
896	2393698.187
897	2393692.111
898	2393677.075
899	2393674.663
900	2393673.507
901	2393629.234
902	2393622.317
903	2393620.835
904	2393618.755
905	2393617.773
906	2393601.013
907	2393595.82
908	2393593.914
909	2393572.72
910	2393570.087
911	2393531.058
912	2393510.951
913	2393507.425
914	2393504.493
915	2393471.799
916	2393466.04
917	2393463.469
918	2393440.983
919	2393436.727
920	2393418.133
921	2393417.206
922	2393415.426
923	2393414.119
924	2393404.367
925	2393402.886
926	2393393.334
927	2393363.298
928	2393358.841
929	2393345.017
930	2393342.93
931	2393299.178
932	2393296.818
933	2393288.148
934	2393269.659
935	2393255.294
936	2393248.275
937	2393236.016
938	2393223.009
939	2393221.315
940	2393215.714
941	2393196.967
942	2393195.182
943	2393164.855
944	2393154.183
945	2393149.82
946	2393148.486
947	2393139.036
948	2393127.172
949	2393107.305
950	2393077.96
951	2393077.516
952	2393061.755
953	2393034.153
954	2393014.304
955	2392982.227
956	2392960.98
957	2392949.581
958	2392923.02
959	2392898.189
960	2392896.014
961	2392893.321
962	2392875.98
963	2392836.663
964	2392816.398
965	2392805.019
966	2392781.799
967	2392777.843
968	2392751.854
969	2392743.168
970	2392733.403
971	2392715.996
972	2392698.571
973	2392687.712
974	2392662.892
975	2392641.914
976	2392626.587
977	2392619.311
978	2392603.883
979	2392568.182
980	2392549.718
981	2392506.767
982	2392497.293
983	2392493.63
984	2392486.389
985	2392468.614
986	2392453.594
987	2392426.912
988	2392408.59
989	2392394.947
990	2392390.547
991	2392368.486
992	2392357.948
993	2392356.429
994	2392346.452
995	2392311.469
996	2392282.489
997	2392264.734
998	2392262.036
999	2392261.158
