iter	RMSE
399	2340295.416
400	2340258.083
401	2340161.074
402	2340065.782
403	2340049.77
404	2340026.659
405	2340009.134
406	2339887.495
407	2339862.237
408	2339753.06
409	2339600.766
410	2339505.051
411	2339364.183
412	2339273.053
413	2339249.803
414	2339130.14
415	2339059.908
416	2338978.678
417	2338869.59
418	2338852.601
419	2338711.618
420	2338558.506
421	2338389.277
422	2338367.203
423	2338358.875
424	2338354.464
425	2338236.691
426	2338059.105
427	2337925.706
428	2337825.498
429	2337753.638
430	2337694.071
431	2337542.962
432	2337430.772
433	2337282.851
434	2337170.198
435	2337081.037
436	2336981.961
437	2336937.601
438	2336881.841
439	2336741.765
440	2336711.938
441	2336642.383
442	2336504.825
443	2336382.558
444	2336300.542
445	2336165.242
446	2336148.057
447	2336107.066
448	2336101.84
449	2336021.032
450	2335900.313
451	2335877.657
452	2335789.112
453	2335775.003
454	2335694.773
455	2335626.122
456	2335520.523
457	2335423.132
458	2335379.594
459	2335372.717
460	2335239.451
461	2335167.072
462	2335068.088
463	2334993.318
464	2334878.603
465	2334788.116
466	2334764.748
467	2334711.348
468	2334626.081
469	2334479.236
470	2334382.75
471	2334292.357
472	2334255.232
473	2334245.318
474	2334184.018
475	2334086.311
476	2334033.498
477	2333929.525
478	2333875.735
479	2333869.837
480	2333767.414
481	2333651.764
482	2333617.372
483	2333531.053
484	2333467.916
485	2333449.318
486	2333442.974
487	2333432.139
488	2333351.116
489	2333337.813
490	2333251.969
491	2333155.997
492	2333148.449
493	2333098.339
494	2333025.452
495	2332943.467
496	2332864.27
497	2332812.912
498	2332713.898
499	2332596.302
500	2332590.031
501	2332573.733
502	2332506.388
503	2332429.702
504	2332333.618
505	2332225.069
506	2332120.638
507	2332101.268
508	2331945.2
509	2331863.268
510	2331857.408
511	2331788.155
512	2331775.017
513	2331690.824
514	2331627.199
515	2331611.039
516	2331499.419
517	2331426.728
518	2331387.02
519	2331298.245
520	2331220.479
521	2331117.304
522	2331056.432
523	2331045.268
524	2330960.877
525	2330913.641
526	2330822.545
527	2330764.755
528	2330677.893
529	2330670.654
530	2330606.707
531	2330492.154
532	2330447.727
533	2330377.644
534	2330322.61
535	2330175.486
536	2330095.792
537	2330059.852
538	2329958.298
539	2329895.705
540	2329824.17
541	2329736.487
542	2329668.38
543	2329664.767
544	2329604.991
545	2329583.912
546	2329511.126
547	2329507.722
548	2329428.359
549	2329419.053
550	2329408.647
551	2329399.418
552	2329287.649
553	2329242.498
554	2329170.722
555	2329152.005
556	2329073.353
557	2329017.54
558	2328981.944
559	2328949.039
560	2328894.602
561	2328862.85
562	2328782.083
563	2328722.172
564	2328671.767
565	2328598.029
566	2328559.226
567	2328506.878
568	2328496.51
569	2328417.765
570	2328397.425
571	2328346.769
572	2328263.13
573	2328177.791
574	2328109.595
575	2328094.29
576	2328067.272
577	2328056.563
578	2328000.884
579	2327945.664
580	2327914.84
581	2327890.311
582	2327865.61
583	2327857.514
584	2327807.744
585	2327767.74
586	2327745.131
587	2327740.882
